YEAR,MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN,DEST,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2019,7,20,7/20/19,MSP,BWI,0,0,6,0,159,936,,,,,
2019,7,20,7/20/19,ATL,BWI,105,1,100,1,107,577,100,0,0,0,0
2019,7,20,7/20/19,BWI,DTW,86,1,78,1,80,409,78,0,0,0,0
2019,7,20,7/20/19,ATL,BWI,23,1,19,1,108,577,17,0,0,0,2
2019,7,20,7/20/19,BWI,DTW,0,0,22,1,113,409,0,0,22,0,0
2019,7,20,7/20/19,DTW,BWI,7,0,0,0,85,409,,,,,
2019,7,20,7/20/19,BWI,DTW,33,1,26,1,82,409,26,0,0,0,0
2019,7,20,7/20/19,BWI,DTW,6,0,3,0,84,409,,,,,
2019,7,20,7/20/19,MSP,BWI,77,1,67,1,142,936,42,0,0,0,25
2019,7,20,7/20/19,ATL,BWI,20,1,14,0,114,577,,,,,
2019,7,20,7/20/19,ATL,BWI,0,0,0,0,105,577,,,,,
2019,7,20,7/20/19,BWI,ATL,0,0,0,0,95,577,,,,,
2019,7,20,7/20/19,BWI,ATL,93,1,87,1,101,577,87,0,0,0,0
2019,7,20,7/20/19,BWI,ATL,4,0,2,0,107,577,,,,,
2019,7,20,7/20/19,BWI,ATL,52,1,51,1,122,577,0,0,51,0,0
2019,7,20,7/20/19,BWI,ATL,0,0,0,0,99,577,,,,,
2019,7,20,7/20/19,BWI,ATL,0,0,0,0,91,577,,,,,
2019,7,20,7/20/19,DTW,BWI,57,1,50,1,82,409,41,0,0,0,9
2019,7,21,7/21/19,BWI,SLC,0,0,0,0,277,1865,,,,,
2019,7,21,7/21/19,ATL,BWI,0,0,0,0,108,577,,,,,
2019,7,21,7/21/19,BWI,ATL,1,0,0,0,107,577,,,,,
2019,7,21,7/21/19,BWI,MSP,71,1,56,1,142,936,56,0,0,0,0
2019,7,21,7/21/19,MSP,BWI,8,0,93,1,234,936,0,0,93,0,0
2019,7,21,7/21/19,ATL,BWI,25,1,15,1,101,577,2,0,0,0,13
2019,7,21,7/21/19,BWI,ATL,26,1,15,1,111,577,6,0,0,0,9
2019,7,21,7/21/19,BWI,SLC,0,0,33,1,321,1865,0,0,33,0,0
2019,7,21,7/21/19,SLC,BWI,0,0,0,0,258,1865,,,,,
2019,7,21,7/21/19,DTW,BWI,122,1,128,1,96,409,122,0,6,0,0
2019,7,21,7/21/19,ATL,BWI,0,0,0,0,104,577,,,,,
2019,7,21,7/21/19,BWI,ATL,21,1,26,1,128,577,0,21,5,0,0
2019,7,21,7/21/19,BWI,MSP,27,1,26,1,163,936,9,0,0,0,17
2019,7,21,7/21/19,MSP,BWI,0,0,18,1,166,936,0,0,18,0,0
2019,7,21,7/21/19,BWI,MSP,3,0,0,0,151,936,,,,,
2019,7,21,7/21/19,BWI,ATL,2,0,0,0,104,577,,,,,
2019,7,21,7/21/19,ATL,BWI,0,0,8,0,124,577,,,,,
2019,7,21,7/21/19,BWI,ATL,30,1,37,1,125,577,22,0,7,0,8
2019,7,21,7/21/19,BWI,MSP,130,1,118,1,145,936,2,0,0,0,116
2019,7,21,7/21/19,MSP,BWI,5,0,0,0,137,936,,,,,
2019,7,21,7/21/19,ATL,BWI,12,0,12,0,115,577,,,,,
2019,7,21,7/21/19,BWI,DTW,60,1,57,1,91,409,0,0,0,0,57
2019,7,21,7/21/19,DTW,BWI,45,1,66,1,113,409,45,0,21,0,0
2019,7,21,7/21/19,ATL,BWI,0,0,0,0,105,577,,,,,
2019,7,21,7/21/19,BWI,ATL,2,0,0,0,106,577,,,,,
2019,7,21,7/21/19,BWI,DTW,6,0,28,1,113,409,0,0,27,0,1
2019,7,21,7/21/19,DTW,BWI,1,0,2,0,98,409,,,,,
2019,7,21,7/21/19,ATL,BWI,11,0,2,0,110,577,,,,,
2019,7,21,7/21/19,BWI,DTW,10,0,9,0,90,409,,,,,
2019,7,21,7/21/19,BWI,DTW,3,0,12,0,98,409,,,,,
2019,7,21,7/21/19,MSP,BWI,201,1,243,1,197,936,201,0,42,0,0
2019,7,21,7/21/19,SLC,BWI,3,0,0,0,228,1865,,,,,
2019,7,21,7/21/19,ATL,BWI,38,1,26,1,111,577,26,0,0,0,0
2019,7,21,7/21/19,ATL,BWI,0,0,0,0,104,577,,,,,
2019,7,21,7/21/19,BWI,ATL,0,0,0,0,100,577,,,,,
2019,7,21,7/21/19,BWI,ATL,0,0,0,0,97,577,,,,,
2019,7,21,7/21/19,ATL,BWI,0,0,0,0,103,577,,,,,
2019,7,21,7/21/19,BWI,ATL,0,0,0,0,95,577,,,,,
2019,7,21,7/21/19,ATL,BWI,34,1,15,1,105,577,7,0,0,0,8
2019,7,21,7/21/19,BWI,ATL,27,1,7,0,102,577,,,,,
2019,7,21,7/21/19,BWI,ATL,3,0,0,0,97,577,,,,,
2019,7,21,7/21/19,ATL,BWI,27,1,12,0,105,577,,,,,
2019,7,21,7/21/19,DTW,BWI,12,0,10,0,91,409,,,,,
2019,7,22,7/22/19,BWI,SLC,0,0,0,0,265,1865,,,,,
2019,7,16,7/16/19,ATL,BWI,68,1,51,1,102,577,0,0,0,0,51
2019,7,16,7/16/19,BWI,ATL,50,1,25,1,93,577,0,0,0,0,25
2019,7,16,7/16/19,BWI,MSP,0,0,0,0,142,936,,,,,
2019,7,16,7/16/19,MSP,BWI,8,0,10,0,151,936,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,105,577,,,,,
2019,7,16,7/16/19,BWI,ATL,0,0,0,0,109,577,,,,,
2019,7,16,7/16/19,BWI,SLC,9,0,6,0,285,1865,,,,,
2019,7,16,7/16/19,SLC,BWI,28,1,7,0,235,1865,,,,,
2019,7,16,7/16/19,DTW,BWI,,,,,,409,,,,,
2019,7,16,7/16/19,ATL,BWI,16,1,7,0,106,577,,,,,
2019,7,16,7/16/19,BWI,ATL,9,0,0,0,100,577,,,,,
2019,7,16,7/16/19,BWI,MSP,0,0,4,0,171,936,,,,,
2019,7,16,7/16/19,MSP,BWI,0,0,0,0,149,936,,,,,
2019,7,16,7/16/19,BWI,MSP,0,0,0,0,144,936,,,,,
2019,7,16,7/16/19,BWI,ATL,0,0,0,0,101,577,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,98,577,,,,,
2019,7,16,7/16/19,BWI,ATL,0,0,0,0,95,577,,,,,
2019,7,16,7/16/19,BWI,MSP,56,1,35,1,136,936,35,0,0,0,0
2019,7,16,7/16/19,MSP,BWI,0,0,0,0,139,936,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,115,577,,,,,
2019,7,16,7/16/19,BWI,DTW,0,0,0,0,96,409,,,,,
2019,7,16,7/16/19,DTW,BWI,4,0,0,0,87,409,,,,,
2019,7,16,7/16/19,BWI,DTW,0,0,0,0,82,409,,,,,
2019,7,16,7/16/19,DTW,BWI,0,0,0,0,90,409,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,107,577,,,,,
2019,7,16,7/16/19,BWI,ATL,5,0,0,0,108,577,,,,,
2019,7,16,7/16/19,BWI,DTW,195,1,204,1,100,409,0,0,9,0,195
2019,7,16,7/16/19,DTW,BWI,220,1,205,1,82,409,0,0,0,0,205
2019,7,16,7/16/19,ATL,BWI,2,0,0,0,115,577,,,,,
2019,7,16,7/16/19,BWI,DTW,0,0,2,0,94,409,,,,,
2019,7,16,7/16/19,BWI,DTW,,,,,,409,,,,,
2019,7,16,7/16/19,MSP,BWI,25,1,36,1,166,936,10,0,11,0,15
2019,7,16,7/16/19,SLC,BWI,12,0,0,0,232,1865,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,106,577,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,111,577,,,,,
2019,7,16,7/16/19,BWI,ATL,0,0,0,0,95,577,,,,,
2019,7,16,7/16/19,BWI,ATL,0,0,0,0,97,577,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,103,577,,,,,
2019,7,16,7/16/19,BWI,ATL,2,0,0,0,95,577,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,118,577,,,,,
2019,7,16,7/16/19,BWI,ATL,6,0,0,0,105,577,,,,,
2019,7,16,7/16/19,BWI,ATL,0,0,0,0,99,577,,,,,
2019,7,16,7/16/19,ATL,BWI,0,0,0,0,101,577,,,,,
2019,7,16,7/16/19,BWI,ATL,0,0,0,0,96,577,,,,,
2019,7,16,7/16/19,DTW,BWI,22,1,22,1,93,409,22,0,0,0,0
2019,7,17,7/17/19,BWI,SLC,0,0,0,0,272,1865,,,,,
2019,7,17,7/17/19,ATL,BWI,54,1,71,1,136,577,0,0,47,0,24
2019,7,17,7/17/19,BWI,ATL,1008,1,995,1,105,577,995,0,0,0,0
2019,7,17,7/17/19,BWI,MSP,0,0,0,0,153,936,,,,,
2019,7,17,7/17/19,MSP,BWI,0,0,24,1,173,936,0,0,24,0,0
2019,7,17,7/17/19,ATL,BWI,0,0,0,0,103,577,,,,,
2019,7,17,7/17/19,BWI,ATL,0,0,,,,577,,,,,
2019,7,17,7/17/19,BWI,SLC,0,0,6,0,296,1865,,,,,
2019,7,17,7/17/19,SLC,BWI,0,0,0,0,260,1865,,,,,
2019,7,17,7/17/19,DTW,BWI,0,0,0,0,86,409,,,,,
2019,7,17,7/17/19,ATL,BWI,0,0,0,0,107,577,,,,,
2019,7,17,7/17/19,BWI,ATL,41,1,76,1,158,577,0,0,76,0,0
2019,7,17,7/17/19,BWI,MSP,120,1,99,1,143,936,0,0,90,0,9
2019,7,17,7/17/19,MSP,BWI,16,1,11,0,140,936,,,,,
2019,7,17,7/17/19,BWI,MSP,12,0,6,0,156,936,,,,,
2019,7,17,7/17/19,BWI,ATL,0,0,2,0,118,577,,,,,
2019,7,17,7/17/19,ATL,BWI,0,0,0,0,98,577,,,,,
2019,7,17,7/17/19,BWI,ATL,174,1,208,1,152,577,0,0,208,0,0
2019,7,17,7/17/19,BWI,MSP,9,0,1,0,149,936,,,,,
2019,7,17,7/17/19,MSP,BWI,0,0,0,0,155,936,,,,,
2019,7,17,7/17/19,ATL,BWI,0,0,39,1,154,577,0,0,39,0,0
2019,7,17,7/17/19,BWI,DTW,45,1,28,1,77,409,0,0,0,0,28
2019,7,17,7/17/19,DTW,BWI,55,1,46,1,83,409,0,0,46,0,0
2019,7,17,7/17/19,BWI,DTW,0,0,0,0,87,409,,,,,
2019,7,17,7/17/19,DTW,BWI,0,0,0,0,100,409,,,,,
2019,7,17,7/17/19,ATL,BWI,0,0,0,0,106,577,,,,,
2019,7,17,7/17/19,BWI,ATL,0,0,0,0,98,577,,,,,
2019,7,17,7/17/19,BWI,DTW,226,1,240,1,105,409,0,0,14,0,226
2019,7,17,7/17/19,DTW,BWI,229,1,230,1,98,409,229,0,1,0,0
2019,7,17,7/17/19,ATL,BWI,37,1,25,1,107,577,24,0,0,0,1
2019,7,17,7/17/19,BWI,DTW,10,0,6,0,87,409,,,,,
2019,7,17,7/17/19,BWI,DTW,23,1,32,1,98,409,23,0,9,0,0
2019,7,17,7/17/19,MSP,BWI,0,0,0,0,151,936,,,,,
2019,7,17,7/17/19,SLC,BWI,68,1,69,1,255,1865,68,0,1,0,0
